Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
2017,02,08,06:38:2,2017,02,08,06:38:2,,DHS Predicts Travel Ban Will Be Reinstated,"DHS Secretary John Kelly said he predicts Trump’s executive order temporarily barring refugees from compromised nations will be reinstated." Found at: http://www.breitbart.com/texas/2017/02/08/dhs-predicts-travel-ban-will-reinstated/,,,,,,,
2017,02,08,06:29:2,2017,02,08,06:29:2,,DHS: Defunding Sanctuary Cities Will Be ‘Case-By-Case’,"Stripping sanctuary cities of federal funds will be done on a “case-by-case” basis, according to DHS Secretary John Kelly." Found at: http://www.breitbart.com/texas/2017/02/08/dhs-defunding-sanctuary-cities-will-case-case/,,,,,,,
2017,02,07,16:27:1,2017,02,07,16:27:1,,Couple Calls It Quits Over President Trump - Breitbart,"Couple Calls It Quits Over President Trump" Found at: http://www.breitbart.com/big-government/2017/02/07/couple-calls-quits-president-trump/,,,,,,,
2017,02,07,14:07:2,2017,02,07,14:07:2,,Trump's Reservations Still Loom Over Pending AT&T, Time Warner Merger - Breitbart,"The pathway forward for AT&T's pending $85 billion merger with Time Warner goes through President Donald Trump's apprehensions about the deal." Found at: http://www.breitbart.com/big-government/2017/02/07/trumps-reservations-still-loom-over-pending-att-time-warner-merger/,,,,,,,
2017,02,07,08:53:2,2017,02,07,08:53:2,,Expert: Refugee 'Chain Migration' Puts Foreign Labor First,"A small town in rural Missouri is forever changing due to chain migration policies and an influx in refugees." Found at: http://www.breitbart.com/texas/2017/02/07/expert-refugee-chain-migration-puts-foreign-labor-first/,,,,,,,
2017,02,07,06:58:2,2017,02,07,06:58:2,,Eight Million Illegal Aliens Qualify for Deportation Under Trump, Says Report,"An estimated eight million illegal alien living in the U.S. could qualify for deportation under President Donald Trump’s immigration plan." Found at: http://www.breitbart.com/texas/2017/02/07/eight-million-illegal-aliens-qualify-deportation-trump-says-report/,,,,,,,
2017,02,06,14:53:2,2017,02,06,14:53:2,,President Trump: Obamacare Repeal May Take Until 2018 - Breitbart,"President Trump: Obamacare Repeal May Take Until 2018" Found at: http://www.breitbart.com/big-government/2017/02/06/president-trump-obamacare-repeal-may-take-2018/,,,,,,,
2017,02,06,12:18:5,2017,02,06,12:18:5,,Seattle Judge Did Not Stop President Trump's 50,000 Limit on Refugees - Breitbart,"Seattle Judge Did Not Stop President Trump's 50,000 Limit on Refugees" Found at: http://www.breitbart.com/big-government/2017/02/06/seattle-judge-not-stop-50000-limit-refugees/,,,,,,,
2017,02,05,16:17:3,2017,02,05,16:17:3,,McConnell: No Federal Money for Investigating Voter Fraud - Breitbart,"Senate Majority Leader Mitch McConnell (R-KY) said he would not spend federal funds investigating voter fraud in the 2016 election." Found at: http://www.breitbart.com/big-government/2017/02/05/mcconnell-no-federal-money-investigating-voter-fraud/,,,,,,,
2017,02,05,14:00:5,2017,02,05,14:00:5,,Over 12,000 Tweets Call For Trump's Assassination - Breitbart,"According to social media analytics, over 12,000 tweets have called for the assassination of President Trump since he took office." Found at: http://www.breitbart.com/tech/2017/02/05/12000-tweets-call-trumps-assassination/,,,,,,,
2017,02,04,10:26:3,2017,02,04,10:26:3,,ATF Permanently Relocating More Agents to Violence-Plagued Chicago - Breitbart,"The ATF is permanently relocating more agents to gun-controlled Chicago in the wake of the city's nearly 800 homicides in 2016." Found at: http://www.breitbart.com/big-government/2017/02/04/atf-permanently-relocating-more-agents-to-violence-plagued-chicago/,,,,,,,
2017,02,03,11:02:5,2017,02,03,11:02:5,,Trump Deputy Assistant Sebastian Gorka Reveals Death Threats,"Authorities dismissed a misdemeanor gun charge against Trump Deputy Assistant Sebastian Gorka Friday after an investigation revealed Gorka received death threats related to his counterterrorism work." Found at: http://www.breitbart.com/big-government/2017/02/03/gun-charge-dropped-gorka/,,,,,,,
2017,02,03,09:32:1,2017,02,03,09:32:1,,WSJ: Trump Will Sign Executive Order to Roll Back Dodd-Frank - Breitbart,"WSJ: Trump Will Sign Executive Order to Roll Back Dodd-Frank" Found at: http://www.breitbart.com/big-government/2017/02/03/trump-will-sign-executive-order-rollback-dodd-frank/,,,,,,,
2017,02,02,13:57:0,2017,02,02,13:57:0,,Villaraigosa: Trump Immigration Policy Could Dent LA Olympics Bid,"Former Los Angeles mayor Antonio Villaraigosa said President Trump's immigration policies could harm L.A.'s 2024 Olympics bid." Found at: http://www.breitbart.com/california/2017/02/02/villaraigosa-warns-trumps-immigration-policy-could-hurt-la-olympic-bidvillaraigosa-warns-trumps-immigration-policy-hurt-california-olympics-bid/,,,,,,,
2017,02,01,22:34:2,2017,02,01,22:34:2,,Nuclear Option: 'Elections Matter'-Trump Campaigned on Extreme Vetting - Breitbart,"Nuclear Option: 'Elections Matter'--Trump Campaigned on Extreme Vetting" Found at: http://www.breitbart.com/big-government/2017/02/01/people-need-get-called-muslim-ban/,,,,,,,
2017,02,01,12:54:5,2017,02,01,12:54:5,,School District Demands 'Safe Zones' for Migrant Students,"The Tacoma Public School Superintendent is now demanding “safe zones” for migrant students." Found at: http://www.breitbart.com/texas/2017/02/01/school-district-demands-safe-zones-migrant-students/,,,,,,,
2017,02,01,11:32:1,2017,02,01,11:32:1,,Oakland Sets Up $300,000 Anti-Deportation Fund - Breitbart,"Oakland Sets Up $300,000 Anti-Deportation Fund" Found at: http://www.breitbart.com/california/2017/02/01/oakland-sets-up-300k-anti-deportation-fund/,,,,,,,
2017,02,01,07:12:5,2017,02,01,07:12:5,,'Angel' Dad: 'I'm Happy' about Trump's Immigration Orders,"A father who lost his son to an illegal immigrant is speaking up after critics blasted President Trump’s executive orders on immigration." Found at: http://www.breitbart.com/texas/2017/02/01/angel-dad-im-happy-trumps-immigration-orders/,,,,,,,
2017,01,31,18:22:4,2017,01,31,18:22:4,,Trump SCOTUS Nominee: '2nd Amendment Protects an Individual's Right' - Breitbart,"Trump SCOTUS Nominee: '2nd Amendment Protects an Individual's Right'" Found at: http://www.breitbart.com/big-government/2017/01/31/trump-scotus-nominee-2nd-amendment-protects-individual-right/,,,,,,,
2017,01,31,16:17:2,2017,01,31,16:17:2,,Maryland Couple Moving Out of the Country to Escape President Trump - Breitbart,"Maryland Couple Moving Out of the Country to Escape President Trump" Found at: http://www.breitbart.com/big-government/2017/01/31/maryland-couple-moving-country-escape-president-trump/,,,,,,,
2017,01,31,13:29:2,2017,01,31,13:29:2,,Immigration Expert: Illegal Immigrants Can Pay for Wall,"A plan to have Mexico pay for the not-yet-built border wall has been floated around President Donald Trump’s administration for weeks now." Found at: http://www.breitbart.com/texas/2017/01/31/immigration-expert-illegal-immigrants-can-pay-wall/,,,,,,,
2017,01,31,12:43:1,2017,01,31,12:43:1,,NRA Eyeing 30 Years of Pro-Gun SCOTUS - Breitbart,"NRA Eyeing 30 Years of Pro-Gun SCOTUS" Found at: http://www.breitbart.com/2nd-amendment/2017/01/31/nra-eyeing-30-years-pro-gun-scotus/,,,,,,,
2017,01,31,08:30:3,2017,01,31,08:30:3,,Gun-Controlled Chicago: More Than 300 Shot in First 30 Days of 2017,"The surge in shootings that marked the early weeks of 2017 continued resulting in more than 300 people shot in the first 30 days." Found at: http://www.breitbart.com/big-government/2017/01/31/gun-controlled-chicago-more-than-300-shot-first-30-days-2017/,,,,,,,
2017,01,31,07:41:5,2017,01,31,07:41:5,,Sources: Left Wing Activists Plot Response to Trump's Refugee Ban,"The National Partnership for New Americans held a nationwide conference call to plot a response to President Trump's temporary refugee ban." Found at: http://www.breitbart.com/big-government/2017/01/31/sources-600-left-wing-activists-plot-panicked-response-trumps-refugee-ban/,,,,,,,
2017,02,28,15:01:3,2017,02,28,15:01:3,,Report: Trump Signs Repeal of Obama's Social Security Gun Ban - Breitbart,"Report: Trump Signs Repeal of Obama's Social Security Gun Ban" Found at: http://www.breitbart.com/big-government/2017/02/28/report-trump-signs-repeal-of-obamas-social-security-gun-ban/,,,,,,,
2017,02,27,17:53:2,2017,02,27,17:53:2,,President Trump to Unveil Obamacare Repeal Plan - Breitbart,"President Trump to Unveil Obamacare Repeal Plan" Found at: http://www.breitbart.com/big-government/2017/02/27/president-trump-plans-unveil-obamacare-repeal-plan/,,,,,,,
2017,02,27,16:48:3,2017,02,27,16:48:3,,Donald and Melania Trump Skip the Oscars to Honor Military, Governors at Governor's Ball - Breitbart,"Donald and Melania Trump Skip the Oscars to Honor Military, Governors at Governor's Ball" Found at: http://www.breitbart.com/big-government/2017/02/27/donald-and-melania-trump-skip-the-oscars-to-honor-military-governors-at-governors-ball/,,,,,,,
2017,02,27,14:30:1,2017,02,27,14:30:1,,Survey: 89% of PGA Tour Players Would Love to Tee It Up with Trump - Breitbart,"Survey: 89% of PGA Tour Players Would Love to Tee It Up with Trump" Found at: http://www.breitbart.com/sports/2017/02/27/survey-89-pga-tour-players-love-tee-trump/,,,,,,,
2017,02,27,12:53:1,2017,02,27,12:53:1,,NYPD Union Boss Blasts Mayor de Blasio's Sanctuary Policy,"A New York City police union official criticized Democrat New York City Mayor Bill de Blasio for sanctuary city protections." Found at: http://www.breitbart.com/texas/2017/02/27/nypd-union-boss-blasts-mayor-de-blasios-sanctuary-policy/,,,,,,,
2017,02,27,10:16:0,2017,02,27,10:16:0,,PolitiFact: Trump Debt Claim 'Mostly False' — Even Though His Numbers Are Factual - Breitbart,"PolitiFact: Trump Debt Claim 'Mostly False' — Even Though His Numbers Are Factual" Found at: http://www.breitbart.com/big-government/2017/02/27/politifact-says-trump-debt-reduction-statement-correct-despite-labelling-mostly-false/,,,,,,,
2017,02,25,21:21:2,2017,02,25,21:21:2,,Townhall: 'Why the MSM Is Ignoring Trump's Sex Trafficking Busts' - Breitbart,"Liz Crokin sheds light on President Trump's crackdown on human trafficking, and attacks the media over its treatment of MILO." Found at: http://www.breitbart.com/tech/2017/02/25/townhall-msm-ignoring-trumps-sex-trafficking-busts/,,,,,,,
2017,02,23,04:22:3,2017,02,23,04:22:3,,Baylor Rejects Sanctuary Campus Pitch,"Baylor rejected a petition that pushed the university’s Christian values as progressive grounds for adopting “sanctuary campus” policies." Found at: http://www.breitbart.com/texas/2017/02/23/baylor-rejects-sanctuary-campus-pitch/,,,,,,,
